sep=	
t[s]	Mv	Wv	Ph	Pf	T1	T2	d	angle
0.02	70.67	9.78	563.05	125.12	1.83	6.71	0.00	0.00
0.12	70.67	1.96	523.95	93.84	1.95	6.45	0.00	0.00
0.32	70.67	14.66	529.81	124.14	1.70	5.68	0.00	0.00
0.42	70.67	0.00	571.85	117.30	2.05	6.60	0.00	0.00
0.52	140.67	0.00	571.85	124.14	2.07	6.55	0.00	0.00
0.62	140.67	7.82	540.57	115.35	1.80	6.14	0.00	0.00
0.72	140.67	43.99	511.24	132.94	1.61	6.19	0.00	0.00
0.82	140.67	0.00	552.30	115.35	1.64	6.09	0.00	0.00
0.92	210.67	23.46	527.86	105.57	1.58	6.30	0.00	0.00
1.02	210.67	0.00	545.45	94.82	1.93	5.73	0.00	0.00
1.12	210.67	0.00	563.05	117.30	2.07	6.35	0.00	0.00
1.22	210.67	12.71	528.84	120.23	1.60	6.30	0.00	0.00
1.42	281.00	10.75	515.15	110.46	2.04	5.78	0.00	0.00
1.52	281.00	3.91	567.94	113.39	1.81	6.45	0.00	0.00
1.62	281.00	22.48	531.77	108.50	1.70	5.07	0.00	0.00
1.72	281.00	2.93	540.57	118.28	1.76	5.73	0.00	0.00
1.82	281.00	0.00	550.34	111.44	1.93	6.50	0.00	0.00
1.92	351.33	0.00	557.18	101.66	1.87	5.43	0.00	0.00
2.02	351.33	23.46	543.50	116.32	2.01	6.14	0.00	0.00
2.12	351.33	6.84	514.17	129.03	1.78	6.35	0.00	0.00
2.22	351.33	0.00	551.32	101.66	1.96	5.73	0.00	0.00
2.32	351.33	0.98	547.41	121.21	1.87	6.14	0.00	0.00
2.42	421.33	0.00	557.18	99.71	2.13	6.55	0.00	0.00
2.52	421.33	2.93	542.52	117.30	1.69	5.27	0.00	0.00
2.62	421.33	10.75	552.30	111.44	1.75	6.50	0.00	0.00
2.72	421.33	7.82	548.39	124.14	1.70	5.68	0.00	0.00
2.82	421.33	6.84	523.95	124.14	1.63	5.94	0.00	0.00
2.92	420.67	0.00	563.05	103.62	1.90	6.96	0.00	0.00
3.02	420.67	14.66	548.39	131.96	1.52	5.73	0.00	0.00
3.22	420.67	0.00	564.03	109.48	1.81	5.89	0.00	0.00
3.32	420.67	14.66	521.99	124.14	1.46	5.68	0.00	0.00
3.42	420.67	0.00	517.11	101.66	1.69	5.78	0.00	0.00
3.52	420.67	1.96	512.22	110.46	1.70	5.27	0.00	0.00
3.62	420.67	9.78	513.20	122.19	1.58	6.50	0.00	0.00
3.72	420.67	0.00	550.34	124.14	1.93	5.99	0.00	0.00
3.82	420.67	6.84	510.26	105.57	1.80	6.14	0.00	0.00
3.92	420.67	11.73	510.26	117.30	1.46	5.99	0.00	0.00
4.02	420.67	13.69	537.63	117.30	1.75	6.96	0.00	0.00
4.12	420.67	0.00	552.30	102.64	2.15	6.04	0.00	0.00
4.22	420.67	14.66	524.93	117.30	1.70	5.89	0.00	0.00
4.32	420.67	7.82	556.21	118.28	1.69	5.73	0.00	0.00
4.42	420.67	0.00	523.95	109.48	2.11	6.14	0.00	0.00
