sep=	
t[s]	Mv	Wv	Ph	Pf	T1	T2	d	angle
0.09	227.00	0.00	0.00	0.00	0.11	0.20	11.92	0.00
0.19	227.00	0.00	0.00	2.93	0.00	0.00	11.92	0.00
0.29	227.00	28.35	1.96	0.00	0.27	1.28	11.92	0.00
0.49	227.00	0.00	0.00	0.00	0.35	1.64	23.83	0.00
0.59	227.00	0.00	0.00	2.93	0.41	1.79	23.83	0.00
0.79	227.00	0.00	0.00	0.00	0.00	0.05	23.83	0.00
0.89	227.00	0.00	2.93	0.00	0.38	1.74	35.75	0.00
0.99	227.00	0.00	0.00	1.96	0.47	0.97	35.75	0.00
1.09	227.00	0.00	0.00	0.00	0.20	0.82	35.75	0.00
1.19	227.00	0.00	0.00	0.00	0.17	1.59	35.75	0.00
1.39	227.00	0.00	0.00	0.00	0.24	0.87	47.67	0.00
1.49	227.00	0.00	0.00	0.00	0.26	1.89	47.67	0.00
1.59	227.00	0.00	0.00	22.48	0.03	0.36	47.67	0.00
1.69	227.00	1.96	6.84	0.98	0.35	1.69	47.67	0.00
1.79	227.00	22.48	0.00	0.00	0.17	0.77	47.67	0.00
1.89	227.00	0.00	0.00	0.00	0.49	0.67	59.59	0.00
1.99	227.00	0.00	2.93	0.00	0.38	1.74	59.59	0.00
2.19	227.00	0.00	0.00	0.00	0.15	0.61	59.59	0.00
2.29	227.00	0.00	0.00	0.00	0.18	0.56	59.59	0.00
2.39	227.00	0.00	0.00	0.00	0.15	0.61	71.50	0.00
2.49	227.00	0.00	0.00	0.00	0.06	0.61	71.50	0.00
2.59	227.00	0.00	21.51	0.00	0.18	0.61	71.50	0.00
2.79	227.00	0.00	0.00	0.98	0.43	1.89	71.50	0.00
2.89	0.00	0.00	14.66	0.00	0.14	0.46	71.50	0.00
3.09	0.00	0.00	0.00	0.00	0.14	1.59	71.50	0.00
3.29	0.00	0.98	6.84	0.98	0.33	1.48	71.50	0.00
3.39	0.00	22.48	0.00	0.00	0.12	0.26	71.50	0.00
3.49	0.00	0.00	0.00	14.66	0.00	0.15	71.50	0.00
3.59	0.00	0.00	0.00	0.00	0.17	0.67	71.50	0.00
3.69	0.00	0.00	0.00	0.00	0.30	0.00	71.50	0.00
3.79	0.00	0.00	0.00	0.00	0.35	1.64	71.50	0.00
