Docklight Log File (ASCII) - Started 



sep=	
state	t[s]	Mv	Wv	Ph	Pf	T1	T2	d	angle
2	0.07	0.00	8.80	0.98	0.00	0.30	1.43	0.00	0.00
2	0.17	0.00	0.00	0.00	0.00	0.27	0.82	0.00	0.00
2	0.27	0.00	0.00	0.00	3.91	0.12	1.18	0.00	0.00
2	0.37	0.00	2.93	0.00	12.71	0.09	1.02	0.00	0.00
2	0.47	0.00	0.00	0.00	0.98	0.00	0.56	0.00	0.00
2	0.57	0.00	8.80	2.93	0.00	0.47	1.74	0.00	0.00
2	0.67	0.00	27.37	0.00	17.60	0.23	0.87	0.00	0.00
2	0.77	0.00	0.00	7.82	1.96	0.24	0.82	0.00	0.00
2	0.87	0.00	45.94	0.00	0.98	0.35	1.02	0.00	0.00
2	0.97	0.00	0.98	0.00	0.00	0.37	0.36	0.00	0.00
2	1.07	0.00	3.91	10.75	0.00	0.53	1.54	0.00	0.00
2	1.17	0.00	4.89	0.00	0.00	0.11	1.23	0.00	0.00
2	1.27	0.00	0.00	0.00	12.71	0.09	1.64	0.00	0.00
2	1.37	0.00	3.91	0.00	14.66	0.35	0.92	0.00	0.00
2	1.47	0.00	0.00	0.00	0.98	0.17	0.00	0.00	0.00
2	1.57	0.00	9.78	0.00	10.75	0.12	0.77	0.00	0.00
2	1.67	0.00	10.75	0.00	5.87	0.29	1.23	0.00	0.00
2	1.77	0.00	11.73	1.96	3.91	0.21	0.97	0.00	0.00
2	1.87	0.00	7.82	0.00	7.82	0.09	0.97	0.00	0.00
2	1.97	0.00	1.96	0.00	2.93	0.18	0.77	0.00	0.00
2	2.07	0.00	2.93	0.00	2.93	0.12	0.36	0.00	0.00
2	2.17	0.00	0.00	0.00	7.82	0.23	1.23	0.00	0.00
2	2.27	0.00	2.93	0.00	14.66	0.00	0.77	0.00	0.00
2	2.37	0.00	14.66	0.00	22.48	0.03	1.59	0.00	0.00
2	2.47	0.00	0.00	0.00	8.80	0.24	0.56	0.00	0.00
2	2.57	0.00	2.93	0.00	6.84	0.24	1.28	0.00	0.00
2	2.67	0.00	0.00	14.66	0.00	0.44	1.23	0.00	0.00
2	2.77	0.00	2.93	0.00	0.00	0.15	1.33	0.00	0.00
2	2.87	0.00	7.82	4.89	0.00	0.35	0.82	0.00	0.00
2	2.97	0.00	0.00	0.00	0.00	0.00	1.64	0.00	0.00
2	3.07	0.00	0.00	14.66	0.00	0.29	1.13	0.00	0.00
2	3.17	0.00	0.00	0.00	0.00	0.23	1.54	0.00	0.00
2	3.27	0.00	0.00	0.00	0.00	0.33	1.28	0.00	0.00
2	3.37	0.00	2.93	0.00	5.87	0.12	0.00	0.00	0.00
2	3.47	0.00	0.00	5.87	0.00	0.33	1.38	0.00	0.00
2	3.57	0.00	1.96	2.93	0.00	0.41	1.89	0.00	0.00
2	3.67	0.00	4.89	2.93	0.00	0.47	0.41	0.00	0.00
2	3.77	0.00	0.00	14.66	0.00	0.56	0.92	0.00	0.00
2	3.87	0.00	0.98	0.00	19.55	0.23	0.82	0.00	0.00
2	3.97	0.00	6.84	0.00	0.00	0.12	0.31	0.00	0.00
2	4.07	0.00	14.66	0.00	0.00	0.23	0.41	0.00	0.00
2	4.17	0.00	10.75	0.00	3.91	0.17	0.41	0.00	0.00
2	4.27	0.00	0.00	14.66	0.00	0.58	0.92	0.00	0.00
2	4.37	0.00	4.89	0.00	5.87	0.02	0.82	0.00	0.00
2	4.47	0.00	6.84	0.00	0.00	0.23	1.33	0.00	0.00
2	4.57	0.00	0.00	3.91	0.00	0.18	0.61	0.00	0.00
2	4.67	0.00	1.96	9.78	0.00	0.12	0.36	0.00	0.00
2	4.77	0.00	0.00	0.00	10.75	0.18	0.97	0.00	0.00
2	4.87	0.00	0.98	8.80	0.98	0.24	0.92	0.00	0.00
2	4.97	0.00	0.00	14.66	0.00	0.26	1.02	0.00	0.00
2	5.07	0.00	0.00	6.84	1.96	0.11	1.84	0.00	0.00
2	5.17	0.00	6.84	0.00	5.87	0.23	0.92	0.00	0.00
2	5.27	0.33	0.00	19.55	0.00	0.37	1.38	0.00	0.00
2	5.37	0.33	11.73	6.84	0.00	0.46	1.23	0.00	0.00
2	5.47	0.33	14.66	0.00	14.66	0.24	1.18	0.00	0.00
2	5.57	0.33	0.00	0.00	0.00	0.26	0.20	0.00	0.00
2	5.67	0.33	0.00	12.71	0.98	0.32	0.97	0.00	0.00
2	5.77	25.67	0.00	3.91	6.84	0.18	1.59	0.00	0.00
